"INSTNM","CONTROL","UGDS","PRICE","SAT_AVG_ALL","PCTPELL","PCTFLOAN","MD_EARN_WNE_P10","GRAD_DEBT_MDN_SUPP"
"Pittsburg State University","public",5842,12395,1010,0.3943,0.5855,37400,19557
"University of Saint Mary","nonprofit",819,15065,1002,0.3427,0.6472,37200,24000
"Southwestern College","nonprofit",1288,21987,1007,0.3778,0.5133,45800,25450
"Sterling College","nonprofit",701,16124,978,0.4391,0.7377,30000,25500
"Tabor College","nonprofit",708,22032,1037,0.3584,0.745,39500,21500
"Alice Lloyd College","nonprofit",657,11724,1008,0.5737,0.6815,33500,16495
"Asbury University","nonprofit",1499,26807,1135,0.3316,0.7001,33600,25250
"Bellarmine University","nonprofit",2499,23850,1120,0.2364,0.6213,46600,25000
"Berea College","nonprofit",1577,3067,1125,0.8367,0.2773,33400,6056
"Brescia University","nonprofit",1003,10505,1039,0.4989,0.8219,37500,30500
"Campbellsville University","nonprofit",2119,13852,964,0.4226,0.4843,31900,18500
"Centre College","nonprofit",1379,22406,1263,0.1477,0.4591,43300,27000
"University of the Cumberlands","nonprofit",1844,16825,1038,0.4079,0.5115,31200,16382.5
"Eastern Kentucky University","public",13323,10686,1008,0.4242,0.5829,34100,23500
"Georgetown College","nonprofit",972,18442,1102,0.3701,0.7967,40500,27000
"Kentucky State University","public",1627,8593,883,0.5911,0.6414,28400,30982
"Kentucky Wesleyan College","nonprofit",691,17050,1021,0.5008,0.8843,34900,23567.5
"University of Kentucky","public",21725,14785,1142,0.2469,0.4426,41900,21500
"Kentucky Christian University","nonprofit",547,19499,966,0.4866,0.7657,28800,26500
"University of Louisville","public",15038,14370,1144,0.2925,0.4158,38500,20493
"Morehead State University","public",7212,10830,1029,0.3741,0.4885,30900,25000
"Murray State University","public",8126,9817,1064,0.336,0.4772,35300,20907.5
"Northern Kentucky University","public",11654,8014,1046,0.3416,0.5413,36000,24184
"University of Pikeville","nonprofit",1329,17759,966,0.4891,0.5362,28100,23000
"Spalding University","nonprofit",1227,19050,967,0.4442,0.6725,41700,25000
"Thomas More College","nonprofit",1243,19664,982,0.251,0.5379,45900,27000
"Transylvania University","nonprofit",1014,21813,1230,0.2689,0.5961,39700,27000
"Western Kentucky University","public",15388,11112,1047,0.368,0.5161,33800,24010.5
"Centenary College of Louisiana","nonprofit",548,21734,1109,0.3515,0.6092,40400,25000
"Dillard University","nonprofit",1200,15138,886,0.7422,0.8833,32800,35000
"Grambling State University","public",3520,14656,868,0.7824,0.897,28400,37524
"Louisiana State University-Alexandria","public",2244,10088,987,0.3971,0.3994,32200,16021.5
"Louisiana State University and Agricultural & Mechanical College","public",24452,11958,1161,0.2013,0.3486,45800,20000
"Louisiana State University-Shreveport","public",2640,7717,1050,0.3187,0.3375,35800,17250
"Louisiana College","nonprofit",957,12925,990,0.4319,0.5896,39100,23743.5
"Louisiana Tech University","public",7272,9514,1104,0.2148,0.2959,40700,20500
"Loyola University New Orleans","nonprofit",2734,24771,1135,0.3072,0.7084,43300,25500
"McNeese State University","public",6597,9370,1030,0.3608,0.409,36200,20785
"University of New Orleans","public",6742,8409,1082,0.3298,0.3621,38200,16989
"Nicholls State University","public",5513,10195,1031,0.3886,0.5022,35000,20308
"University of Louisiana at Monroe","public",5799,8920,1030,0.3994,0.3755,36600,21082.5
"Northwestern State University of Louisiana","public",6828,11446,1027,0.4049,0.492,33900,22375
"Our Lady of the Lake College","nonprofit",1551,18950,1010,0.3605,0.6416,43700,25000
"Southeastern Louisiana University","public",11199,10022,1030,0.3652,0.4231,34800,21313
"Southern University and A & M College","public",5133,12106,910,0.6272,0.7488,33100,31271.5
"Southern University at New Orleans","public",1658,7711,806,0.6042,0.6468,29200,23590
"University of Louisiana at Lafayette","public",14667,8588,1070,0.331,0.3072,37300,20250
"Tulane University of Louisiana","nonprofit",7892,34740,1342,0.1542,0.3534,52900,27000
"Xavier University of Louisiana","nonprofit",2313,20728,1039,0.5343,0.8617,46800,27000
"Maine College of Health Professions","nonprofit",178,14339,1000,0.4089,0.6578,50700,16000
"Colby College","nonprofit",1847,23566,1333,0.1203,0.2407,52300,19195.5
"Husson University","nonprofit",2292,16414,951,0.434,0.7447,36900,26250
"University of Maine at Fort Kent","public",956,13349,899,0.3524,0.4582,31300,18500
"University of Maine","public",8682,16731,1078,0.3345,0.6293,39200,26150
"Maine Maritime Academy","public",1031,20861,1024,0.2857,0.8078,78800,27000
"University of New England","nonprofit",2217,31378,1073,0.2167,0.6732,44500,27000
"Saint Joseph's College of Maine","nonprofit",1817,25267,965,0.2452,0.6548,39100,27000
"University of Southern Maine","public",5783,17048,998,0.3586,0.5564,37200,22913
"University of Baltimore","public",3444,14180,920,0.4328,0.5425,56500,20500
"Bowie State University","public",4401,13231,867,0.4977,0.6615,46800,22927
"Capitol Technology University","nonprofit",406,20045,1075,0.31,0.4706,64000,23000
"Washington Adventist University","nonprofit",790,17040,854,0.5727,0.7854,44500,27000
"Coppin State University","public",2652,9363,880,0.6103,0.6839,35700,19500
"Frostburg State University","public",4765,17755,967,0.3653,0.5983,43500,22250
"Johns Hopkins University","nonprofit",6039,29911,1439,0.1277,0.3865,65900,16250
"University of Maryland-Baltimore County","public",11274,17657,1213,0.2742,0.419,53700,21943
"University of Maryland-College Park","public",26532,15817,1315,0.1964,0.3501,60500,19500
"Maryland Institute College of Art","nonprofit",1907,37747,1165,0.2511,0.5903,32400,27000
"University of Maryland Eastern Shore","public",3441,14249,842,0.5353,0.5514,36700,27000
"Morgan State University","public",6239,15926,874,0.5718,0.7623,38600,31000
"Mount St Mary's University","nonprofit",1806,28771,1048,0.2252,0.6215,49900,25995
"Notre Dame of Maryland University","nonprofit",1153,15831,1048,0.2828,0.4579,47500,27000
"St Mary's College of Maryland","public",1668,16881,1188,0.193,0.4354,47700,20962.5
"St John's College","nonprofit",429,29456,1323,0.246,0.5372,35200,27000
"Towson University","public",18546,16363,1082,0.2552,0.4708,49200,18500
"Stevenson University","nonprofit",3778,25956,990,0.3155,0.6249,50300,25803
"McDaniel College","nonprofit",1649,19802,1094,0.3162,0.6466,46500,27000
"American International College","nonprofit",1473,19559,887,0.5063,0.848,38900,27000
"Amherst College","nonprofit",1792,17801,1439,0.219,0.1613,56300,11706
"Babson College","nonprofit",2107,30636,1272,0.1709,0.3727,86700,27000
"Bay Path University","nonprofit",1574,18951,951,0.5425,0.9115,41100,22878.5
"Becker College","nonprofit",1975,29940,1015,0.4301,0.836,36800,26000
"Bentley University","nonprofit",4190,31616,1247,0.1589,0.4996,76900,27000
"Boston College","nonprofit",9483,33464,1380,0.1335,0.3903,66700,19000
"Boston University","nonprofit",16457,34592,1300,0.1424,0.3981,59500,27000
"Brandeis University","nonprofit",3715,28004,1369,0.1989,0.5061,56800,27000
"Bridgewater State University","public",9500,17781,991,0.2595,0.5402,42300,24500
"Curry College","nonprofit",2843,30309,948,0.2587,0.6406,45700,26000
"Dean College","nonprofit",1256,25062,857,0.3169,0.6623,31000,17184.5
"Eastern Nazarene College","nonprofit",1054,14966,918,0.4837,0.4989,44900,24362
"Emerson College","nonprofit",3757,37313,1244,0.1739,0.5741,44900,24000
"Emmanuel College","nonprofit",1967,31767,1093,0.2224,0.6751,45500,27000
"Fitchburg State University","public",4134,13737,1004,0.3576,0.7053,40500,22650
"Framingham State University","public",4329,17801,1011,0.2956,0.6431,45000,23979
"Gordon College","nonprofit",1703,27869,1161,0.2222,0.693,39700,27000
"Harvard University","nonprofit",7236,14068,1501,0.1304,0.0404,95500,6500
"Lasell College","nonprofit",1727,25993,974,0.3379,0.8411,40700,27000
"Lesley University","nonprofit",1727,32123,1086,0.2705,0.6366,35100,25000
"University of Massachusetts-Lowell","public",12190,16798,1145,0.2884,0.5744,50200,25000
"University of Massachusetts-Amherst","public",21864,18819,1217,0.2526,0.6041,49300,24300
"MCPHS University","nonprofit",3944,34271,1074,0.2797,0.7075,113400,27000
"Massachusetts College of Art and Design","public",1781,22594,1077,0.2656,0.5684,34000,26000
"Massachusetts Institute of Technology","nonprofit",4476,23547,1500,0.1826,0.1939,89200,14990
"Massachusetts Maritime Academy","public",1395,15785,1105,0.1897,0.7674,69000,27000
"Mount Ida College","nonprofit",1290,26906,886,0.3778,0.7713,34600,27000
"Massachusetts College of Liberal Arts","public",1517,14884,977,0.4623,0.8453,34800,25000
"Northeastern University","nonprofit",13492,32715,1420,0.1321,0.441,61700,28501
"College of Our Lady of the Elms","nonprofit",1336,20813,946,0.4298,0.7506,44300,26000
"Pine Manor College","nonprofit",401,16376,780,0.5719,0.6358,33400,32125
"Salem State University","public",7180,15762,984,0.334,0.5968,40400,25000
"Simmons College","nonprofit",1598,27525,1170,0.2575,0.7154,50700,26250
"Springfield College","nonprofit",2136,27466,1025,0.2336,0.802,43800,24826.5
"University of Massachusetts-Dartmouth","public",7185,15919,1025,0.3831,0.7186,45900,25750
"Suffolk University","nonprofit",5274,27209,1049,0.2955,0.5815,51200,27000
"Tufts University","nonprofit",5143,28329,1423,0.1143,0.2886,65000,18000
"Wellesley College","nonprofit",2172,21973,1390,0.1795,0.3246,56500,9000
"Wentworth Institute of Technology","nonprofit",4295,31521,1116,0.266,0.7121,56700,27000
"Western New England University","nonprofit",2722,28213,1077,0.2681,0.748,56500,27000
"Westfield State University","public",5429,16861,997,0.3352,0.6244,42900,23175
"Wheelock College","nonprofit",867,25668,963,0.3432,0.7784,37300,27000
"Williams College","nonprofit",2019,21762,1452,0.1875,0.2634,54200,13211.5
"Worcester State University","public",5063,16429,997,0.2783,0.534,44800,19500
"Adrian College","nonprofit",1570,21486,1009,0.4142,0.7884,37100,27000
"Albion College","nonprofit",1249,23195,1125,0.2502,0.6129,44900,27000
"Alma College","nonprofit",1362,21824,1101,0.2882,0.907,43200,27000
"Andrews University","nonprofit",1629,21789,1081,0.2934,0.4891,34800,27750
"Aquinas College","nonprofit",1734,14293,1090,0.3274,0.664,35800,25000
"Calvin College","nonprofit",3825,24352,1182,0.2286,0.5486,41700,26999.5
"Central Michigan University","public",20297,15558,1050,0.3626,0.7754,39800,27000
"Cleary University","nonprofit",438,8705,990,0.4822,0.7578,46900,25458
"College for Creative Studies","nonprofit",1376,33002,1010,0.3448,0.6764,38600,27000
"University of Detroit Mercy","nonprofit",2677,24101,1110,0.2832,0.6063,45600,25000
"Eastern Michigan University","public",17723,12955,1028,0.4391,0.732,37100,26000
"Ferris State University","public",12632,13230,1010,0.4124,0.6638,41500,24425.5
"Kettering University","nonprofit",1689,33861,1223,0.2613,0.5932,77400,27000
"Cornerstone University","nonprofit",2020,19570,1051,0.4218,0.7441,35700,23438
"Grand Valley State University","public",21561,16815,1089,0.3622,0.6323,39400,25500
"Hope College","nonprofit",3312,23345,1185,0.2087,0.5593,42900,27000
"Kalamazoo College","nonprofit",1431,23070,1239,0.203,0.5096,51700,25936
"Lake Superior State University","public",2213,11558,1028,0.3886,0.5957,35200,24454
"Lawrence Technological University","nonprofit",2798,26132,1127,0.1691,0.3162,53700,27000
"Madonna University","nonprofit",2841,14440,1049,0.3189,0.5024,37000,25000
"Marygrove College","nonprofit",881,12800,800,0.7224,0.8549,26800,35500
"Rochester College","nonprofit",976,16693,972,0.4217,0.6589,34600,23529
"University of Michigan-Ann Arbor","public",28217,15787,1380,0.1569,0.342,57400,20495.5
"Michigan State University","public",38395,16382,1158,0.227,0.4632,49900,25458
"Michigan Technological University","public",5576,14336,1244,0.2558,0.5886,61400,26264
"University of Michigan-Dearborn","public",6906,12227,1105,0.4296,0.6533,45600,25750
"University of Michigan-Flint","public",6565,14026,993,0.4186,0.7203,40300,27500
"Northern Michigan University","public",7718,12039,1010,0.3882,0.6381,33900,22000
"Northwood University-Michigan","nonprofit",2808,19859,981,0.3374,0.7078,43200,22750
"Oakland University","public",16528,11631,1070,0.3205,0.5314,43000,25000
"Olivet College","nonprofit",945,19725,917,0.5112,0.8248,35200,27000
"Kuyper College","nonprofit",264,18599,1030,0.5069,0.7118,29200,24750
"Saginaw Valley State University","public",8453,14058,1030,0.3815,0.6502,37400,27000
"Spring Arbor University","nonprofit",2632,17194,1035,0.4544,0.7518,38100,25000
"Finlandia University","nonprofit",464,18301,910,0.5581,0.7771,27000,27500
"Wayne State University","public",17242,12476,1070,0.479,0.601,39400,21393
"Western Michigan University","public",18450,15903,1030,0.3861,0.6679,42700,26587
"Augsburg College","nonprofit",2552,21755,1074,0.433,0.7043,45700,27000
"Bemidji State University","public",4386,14589,1010,0.3467,0.6099,38900,21500
"Bethany Lutheran College","nonprofit",503,18364,1070,0.3972,0.7599,34200,25000
"Bethel University","nonprofit",2936,25568,1146,0.2725,0.6636,45000,24069
"Carleton College","nonprofit",2042,28078,1408,0.135,0.4714,49500,17500
"Concordia College at Moorhead","nonprofit",2296,21953,1166,0.2303,0.6705,41300,27000
"Martin Luther College","nonprofit",744,16104,1125,0.3277,0.7457,39300,22194
"Hamline University","nonprofit",2157,20611,1101,0.378,0.7033,47300,25500
"Macalester College","nonprofit",2053,25954,1354,0.1775,0.4581,46500,23747
"Minnesota State University-Mankato","public",12332,13898,1010,0.2869,0.5862,42300,22997
"University of Minnesota-Twin Cities","public",30135,16954,1268,0.2076,0.4344,48300,20500
"University of Minnesota-Crookston","public",1876,13216,1006,0.218,0.3741,39100,19500
"Minneapolis College of Art and Design","nonprofit",658,25649,1088,0.3474,0.8895,33900,26875
"University of Minnesota-Duluth","public",9120,17315,1110,0.2417,0.5838,44000,25190
"University of Minnesota-Morris","public",1803,14326,1148,0.2965,0.4985,38900,19157
"Minnesota State University Moorhead","public",5496,15183,1049,0.3245,0.637,36500,22250
"North Central University","nonprofit",928,19729,1062,0.3736,0.6802,31800,25500
"University of Northwestern-St Paul","nonprofit",1945,23508,1110,0.2429,0.4601,35000,22250
"Oak Hills Christian College","nonprofit",124,16004,964,0.6544,0.6176,23600,19125
"College of Saint Benedict","nonprofit",2020,23679,1179,0.2418,0.6524,47200,26000
"Saint Cloud State University","public",10878,14183,1010,0.295,0.4798,41600,23185
"Saint Johns University","nonprofit",1789,22450,1155,0.1951,0.6205,56100,27000
"Saint Mary's University of Minnesota","nonprofit",1859,19816,1067,0.3038,0.6144,41600,20500
"St Olaf College","nonprofit",2990,24983,1292,0.1427,0.4915,45000,27000
"Crown College","nonprofit",1032,21586,1016,0.5031,0.7015,31000,26259
"The College of Saint Scholastica","nonprofit",2788,20215,1106,0.312,0.6764,50000,21500
"University of St Thomas","nonprofit",6080,29465,949,0.1921,0.5547,56200,26722.5
"St Catherine University","nonprofit",3399,21678,1032,0.399,0.7527,45000,28065
"Southwest Minnesota State University","public",2359,14387,990,0.15,0.2553,36200,22500
"Winona State University","public",7944,17620,1050,0.2634,0.6299,42200,23664.5
"Alcorn State University","public",3006,15112,872,0.7646,0.8423,30400,28000
"Delta State University","public",2778,15335,968,0.4507,0.5732,34100,22500
"Jackson State University","public",7160,15432,911,0.6586,0.7543,29200,29500
"Millsaps College","nonprofit",762,21360,1178,0.1962,0.5538,45600,27000
"University of Mississippi","public",17809,14358,1098,0.2838,0.4545,40500,20500
"Mississippi University for Women","public",2316,9810,988,0.4718,0.5867,33600,14560
"Mississippi Valley State University","public",1813,6547,825,0.7658,0.8079,22600,30362.5
"Mississippi College","nonprofit",2942,16167,1120,0.359,0.5759,37600,26145
"Mississippi State University","public",15800,15902,1126,0.3318,0.4959,40100,23537
"Rust College","nonprofit",963,9763,760,0.8818,0.872,22700,25966
"University of Southern Mississippi","public",11939,12549,1029,0.4865,0.66,35900,25000
"Tougaloo College","nonprofit",895,13067,864,0.8998,0.795,26800,32750
"William Carey University","nonprofit",2039,16740,1080,0.6531,0.6907,34700,21376.5
"Avila University","nonprofit",1321,19610,1038,0.4226,0.7059,41100,26625
"Calvary Bible College and Theological Seminary","nonprofit",225,12049,1014,0.5339,0.494,29100,19399
"Central Methodist University-College of Liberal Arts and Sciences","nonprofit",1175,17485,1050,0.421,0.7398,33700,17093
"University of Central Missouri","public",9017,14725,1010,0.3664,0.6013,36600,22983
"Cottey College","nonprofit",269,16910,1019,0.4693,0.6643,31100,12000
"Culver-Stockton College","nonprofit",931,17989,986,0.5084,0.8024,35800,23702
"Drury University","nonprofit",3790,21824,1185,0.5091,0.576,31700,23454
"Evangel University","nonprofit",1788,21336,1055,0.4887,0.9355,34700,22062
"Fontbonne University","nonprofit",1121,16717,1052,0.3441,0.6702,39400,26959
"Kansas City Art Institute","nonprofit",650,27967,1086,0.4222,0.6861,28600,27000
"Lindenwood University","nonprofit",7986,21985,1038,0.3346,0.6221,39700,27000
"Maryville University of Saint Louis","nonprofit",2736,23025,1137,0.3227,0.6568,45700,24000
"Missouri Baptist University","nonprofit",1706,17249,984,0.205,0.3375,33100,21250
"Missouri Southern State University","public",5076,8314,990,0.5604,0.6277,33000,21000
"University of Missouri-Columbia","public",27276,17238,1166,0.2138,0.4735,46000,21647
"University of Missouri-Kansas City","public",8127,18802,1129,0.3212,0.4844,43700,20605
"Missouri University of Science and Technology","public",6418,14874,1283,0.2558,0.5193,64100,25000
"University of Missouri-St Louis","public",8936,12318,1105,0.2927,0.4073,40000,21113.5
"Truman State University","public",5394,12148,1226,0.2013,0.4266,43000,22250
"Northwest Missouri State University","public",5222,10570,1051,0.3537,0.6047,38000,25375
"Rockhurst University","nonprofit",1671,19560,1164,0.1615,0.4409,45600,19950
"Saint Louis University","nonprofit",7822,30543,1239,0.1319,0.3357,53800,25500
"Saint Louis Christian College","nonprofit",166,12434,990,0.5633,0.7143,29300,27000
"Southwest Baptist University","nonprofit",2477,16739,1070,0.4139,0.5611,31900,20990
"Stephens College","nonprofit",667,23211,1064,0.456,0.762,33300,27000
"Southeast Missouri State University","public",9382,12050,1050,0.3487,0.4826,35900,22105
"Missouri State University-Springfield","public",16177,14866,1090,0.329,0.4974,36800,22313
"Washington University in St Louis","nonprofit",6913,31281,1478,0.0671,0.2184,62800,20500
"Webster University","nonprofit",3349,20708,1105,0.354,0.6485,40500,25000
"Westminster College","nonprofit",943,20280,1114,0.2925,0.7572,39400,27000
"William Jewell College","nonprofit",1043,21094,1141,0.2845,0.636,42300,26625
"William Woods University","nonprofit",990,21058,1042,0.3363,0.6138,34500,22282.5
"Highlands College of Montana Tech","public",569,9177,1125,0.4294,0.4655,40600,20667
"Carroll College","nonprofit",1410,24020,1133,0.2103,0.5759,45500,27000
"Montana Tech of the University of Montana","public",1868,11826,1125,0.3487,0.4713,40600,20667
"Montana State University","public",13117,16600,1128,0.2938,0.4699,39600,24854
"The University of Montana","public",10969,12863,1075,0.3803,0.5327,34300,23431
"Montana State University-Northern","public",1125,13636,917,0.4736,0.5944,33400,15873
"Rocky Mountain College","nonprofit",903,17905,1031,0.3381,0.7996,38900,25626
"Clarkson College","nonprofit",739,20554,990,0.3564,0.7205,47000,26000
"Bryan College of Health Sciences","nonprofit",588,21429,1050,0.3477,0.7049,50900,24280.5
"Concordia University-Nebraska","nonprofit",1232,18557,1067,0.2129,0.5046,36100,26000
"Creighton University","nonprofit",3977,27854,1200,0.1757,0.683,57100,23250
"Doane University-Arts & Sciences","nonprofit",1064,21869,1060,0.3226,0.8383,42900,22158.5
"Grace University","nonprofit",387,13803,1064,0.4415,0.6317,31900,17625
"Hastings College","nonprofit",1135,18805,1079,0.3059,0.644,40800,27000
"University of Nebraska at Kearney","public",5081,15100,1049,0.339,0.4965,38200,20700
"Nebraska Methodist College of Nursing & Allied Health","nonprofit",742,19235,1090,0.3437,0.8369,46600,24688
"Midland University","nonprofit",1236,22298,1010,0.4295,0.8104,40500,25250
"University of Nebraska at Omaha","public",11989,12380,1050,0.326,0.45,41700,20000
"Nebraska Wesleyan University","nonprofit",1803,20153,1124,0.2641,0.6456,44600,27000
"University of Nebraska-Lincoln","public",19979,16177,1146,0.1989,0.3856,43500,21500
"Union College","nonprofit",747,19584,1030,0.3532,0.7113,37900,27000
"Nebraska College of Technical Agriculture","public",242,11759,1146,0.3033,0.34,43500,21500
"York College","nonprofit",402,17311,970,0.5447,0.7821,36600,26540
"University of Nevada-Las Vegas","public",23329,11970,1000,0.3511,0.3686,42800,19000
"University of Nevada-Reno","public",16330,14579,1081,0.2983,0.4033,45000,18733
"Sierra Nevada College","nonprofit",548,25798,1010,0.4045,0.6994,43700,23000
"Dartmouth College","nonprofit",4184,27143,1444,0.1382,0.2437,67800,12000
"Franklin Pierce University","nonprofit",1731,26461,949,0.3202,0.8881,37000,27000
"University of New Hampshire-Main Campus","public",12591,23516,1102,0.225,0.6752,47600,27000
"Keene State College","public",4662,19475,965,0.2389,0.7282,39500,26000
"University of New Hampshire at Manchester","public",718,17194,1102,0.2753,0.5352,47600,27000
"Rivier University","nonprofit",1433,28521,962,0.2753,0.6757,41700,25500
"Bloomfield College","nonprofit",1933,18689,810,0.6733,0.8275,36100,30500
"Caldwell University","nonprofit",1596,16416,950,0.4214,0.6597,44400,26040
"Centenary College","nonprofit",1612,23775,926,0.3202,0.6293,41100,25437.5
"Drew University","nonprofit",1356,24022,1118,0.3081,0.5854,50300,27000
"Fairleigh Dickinson University-Metropolitan Campus","nonprofit",3870,17480,993,0.2759,0.3854,47500,26250
"Felician University","nonprofit",1629,16081,870,0.4843,0.6891,40300,25000
"Fairleigh Dickinson University-College at Florham","nonprofit",2359,23471,993,0.3532,0.7056,47500,26250
"Georgian Court University","nonprofit",1423,18905,945,0.4161,0.6554,43700,25700
"Rowan University","public",11690,19747,1103,0.2974,0.5673,49100,21500
"New Jersey City University","public",6163,8001,890,0.5596,0.5613,41800,17500
"Kean University","public",11938,16951,907,0.4308,0.6212,45500,24500
"Monmouth University","nonprofit",4584,26235,1055,0.2616,0.6531,49700,26250
"Montclair State University","public",15676,21685,975,0.382,0.6043,48300,23000
"New Jersey Institute of Technology","public",6748,18205,1168,0.3755,0.4684,64500,21500
"Princeton University","nonprofit",5258,7103,1491,0.1285,0.0488,77900,7500
"Ramapo College of New Jersey","public",5447,20656,1082,0.2774,0.6391,46000,22500
"Rider University","nonprofit",4188,28226,1026,0.2577,0.6351,49400,26174
"Rutgers University-Camden","public",4801,13994,1181,0.481,0.7166,54500,21745
"Rutgers University-New Brunswick","public",34094,20079,1181,0.2996,0.5236,54500,21745
"Rutgers University-Newark","public",6841,12497,1181,0.5185,0.5734,54500,21745
"Saint Peter's University","nonprofit",2409,14295,899,0.5443,0.6167,44300,25000
"Seton Hall University","nonprofit",5609,26177,1133,0.3036,0.5616,53800,25000
"College of Saint Elizabeth","nonprofit",862,21662,843,0.3921,0.542,44900,23000
"Stevens Institute of Technology","nonprofit",2842,28296,1346,0.2077,0.6336,83700,27532.5
"Stockton University","public",7676,20433,1078,0.3561,0.6737,46700,21500
"The College of New Jersey","public",6407,22516,1213,0.1751,0.5198,56000,23250
"William Paterson University of New Jersey","public",9508,15142,980,0.4153,0.6657,43200,25000
"New Mexico State University-Dona Ana","public",6212,4832,984,0.5247,0.321,32800,18340
"Eastern New Mexico University-Main Campus","public",3731,10090,935,0.3648,0.3337,29300,15750
"Eastern New Mexico University-Roswell Campus","public",1847,7528,935,0.273,0.0428,29300,15750
"New Mexico Military Institute","public",459,5181,945,0.3255,0.2106,38800,7577.5
"University of New Mexico-Gallup Campus","public",1984,7500,1060,0.56,0.2056,34900,19576
"New Mexico Institute of Mining and Technology","public",1525,11451,1193,0.2974,0.3965,54300,16006
"University of New Mexico-Los Alamos Campus","public",640,6655,1060,0.1384,0.0417,34900,19576
"University of New Mexico-Main Campus","public",20261,10079,1060,0.3871,0.4201,34900,19576
"New Mexico State University-Alamogordo","public",1073,3772,984,0.4845,0.3267,32800,18340
"New Mexico State University-Carlsbad","public",742,3581,984,0.3143,0.1687,32800,18340
"New Mexico State University-Grants","public",403,3613,984,0.5237,0.2608,32800,18340
"New Mexico State University-Main Campus","public",12171,9531,984,0.4191,0.4002,32800,18340
"University of New Mexico-Valencia County Campus","public",1732,6260,1060,0.4539,0.2352,34900,19576
"University of New Mexico-Taos Campus","public",910,9937,1060,0.3191,0.187,34900,19576
"Adelphi University","nonprofit",5036,33400,1092,0.3079,0.5982,51300,25000
"Albany College of Pharmacy and Health Sciences","nonprofit",1076,30901,1165,0.2301,0.8154,118800,26144
"Alfred University","nonprofit",1842,19791,1064,0.3929,0.7872,41600,27000
"Barnard College","nonprofit",2556,24476,1343,0.1832,0.3254,56800,16725
"Canisius College","nonprofit",2736,20026,1085,0.2964,0.6715,45700,25000
"Clarkson University","nonprofit",3130,27629,1195,0.2772,0.7662,68300,27000
"Colgate University","nonprofit",2865,23146,1369,0.1138,0.2654,60300,16114.5
"Columbia University in the City of New York","nonprofit",8100,22298,1470,0.2141,0.2561,75200,23000
"Concordia College-New York","nonprofit",886,17633,872,0.4329,0.7024,43200,26000
"Cooper Union for the Advancement of Science and Art","nonprofit",852,11110,1388,0.1939,0.1786,53800,18250
"Cornell University","nonprofit",14195,29240,1422,0.163,0.3104,72100,12034.5
"CUNY Bernard M Baruch College","public",14420,6841,1235,0.4401,0.1758,54900,11000
"CUNY Brooklyn College","public",12925,6399,1085,0.4879,0.2179,44500,10456
"College of Staten Island CUNY","public",12944,9711,1005,0.453,0.1921,40600,14666
"CUNY City College","public",12175,5917,1130,0.518,0.2225,45800,11551
"CUNY Hunter College","public",15778,7240,1160,0.4209,0.1819,45000,10053
"CUNY John Jay College of Criminal Justice","public",12758,5604,970,0.553,0.2067,42400,10092
"CUNY Lehman College","public",9417,2374,995,0.531,0.2199,40400,10000
"CUNY Queens College","public",14842,5998,1090,0.3868,0.1522,47500,11000
"CUNY York College","public",7245,5630,900,0.5279,0.1028,38700,9500
"D'Youville College","nonprofit",1796,17971,1035,0.3421,0.6599,48000,25500
"Dominican College of Blauvelt","nonprofit",1483,20126,872,0.4276,0.8788,49500,27000
"Elmira College","nonprofit",1318,24653,1073,0.3104,0.7301,42500,27000
"Fordham University","nonprofit",8485,33972,1254,0.1977,0.5274,56200,25000
"Hamilton College","nonprofit",1890,23121,1393,0.1407,0.3718,54800,15300
"Hofstra University","nonprofit",6803,30731,1147,0.234,0.5324,53100,23500
"Houghton College","nonprofit",1010,21634,1121,0.4107,0.7125,41800,25500
"Iona College","nonprofit",3052,25972,1022,0.2628,0.577,51800,25400
"LIM College","forprofit",1548,34251,914,0.3133,0.6451,47300,26335
"Le Moyne College","nonprofit",2728,21627,1071,0.321,0.6944,48500,26248.5
"LIU Brooklyn","nonprofit",4755,22304,950,0.5985,0.6916,44600,25499
"LIU Post","nonprofit",3774,28372,950,0.1664,0.2876,44600,25499
"Manhattan College","nonprofit",3471,28117,1097,0.2871,0.6242,61700,26000
"Marymount Manhattan College","nonprofit",1831,34710,1065,0.2495,0.6152,38100,23000
"Medaille College","nonprofit",1914,14195,840,0.5402,0.8593,37900,25000
"Molloy College","nonprofit",3293,24045,1072,0.317,0.7559,55900,27000
"Mount Saint Mary College","nonprofit",2096,23714,1011,0.3364,0.7072,46800,25941.5
"College of Mount Saint Vincent","nonprofit",1671,19587,931,0.5189,0.8094,50600,27000
"The College of New Rochelle","nonprofit",3075,32414,958,0.7488,0.6257,35700,22175
"The New School","nonprofit",6695,34825,1117,0.2266,0.3848,40700,24384
"New York University","nonprofit",24539,36991,1344,0.2145,0.4051,58800,23300
"Niagara University","nonprofit",3130,19006,1040,0.3156,0.7276,40900,25000
"New York Institute of Technology","nonprofit",4160,25004,1069,0.36,0.5272,50300,24187.5
"Nyack College","nonprofit",1695,19163,909,0.5685,0.8394,39300,25000
"Pace University-New York","nonprofit",8163,27403,1054,0.3437,0.5737,57700,25000
"Davis College","nonprofit",252,12283,954,0.4582,0.443,28500,21000
"Pratt Institute-Main","nonprofit",3232,39957,1141,0.2387,0.4774,40900,26691
"Rensselaer Polytechnic Institute","nonprofit",5557,33595,1372,0.1681,0.5997,79600,27500
