"INSTNM","CONTROL","UGDS","PRICE","SAT_AVG_ALL","PCTPELL","PCTFLOAN","MD_EARN_WNE_P10","GRAD_DEBT_MDN_SUPP"
"Loyola Marymount University","nonprofit",6064,38019,1218,0.1979,0.4535,54100,22500
"Menlo College","nonprofit",793,28139,995,0.3268,0.54,46400,22746.5
"Mills College","nonprofit",909,25161,1152,0.503,0.7272,39000,23471
"Mount Saint Mary's University","nonprofit",2659,26701,902,0.5989,0.9154,50500,25000
"Notre Dame de Namur University","nonprofit",1177,25574,932,0.4204,0.6826,51000,26865.5
"Occidental College","nonprofit",2023,28787,1300,0.2161,0.5304,48500,23231.5
"Otis College of Art and Design","nonprofit",1090,33908,1010,0.468,0.6047,46800,27000
"Hope International University","nonprofit",816,21546,896,0.5319,0.7351,35400,26000
"Pacific Union College","nonprofit",1583,22176,1017,0.4584,0.7787,45700,28500
"University of the Pacific","nonprofit",3802,30202,1185,0.3988,0.592,68200,23370
"Pepperdine University","nonprofit",3434,26876,1234,0.2114,0.437,59200,26500
"Point Loma Nazarene University","nonprofit",2560,30913,1135,0.275,0.6232,48300,25000
"Pomona College","nonprofit",1635,13777,1454,0.1795,0.1416,51400,9788
"University of Redlands","nonprofit",3710,27538,1110,0.3123,0.6568,51500,27000
"San Diego State University","public",27824,12567,1115,0.3978,0.3683,47400,15998
"University of San Diego","nonprofit",5656,30191,1243,0.1794,0.4204,56900,22750
"San Francisco State University","public",25170,11658,990,0.4305,0.3818,47200,17501
"University of San Francisco","nonprofit",6745,30154,1152,0.2605,0.4776,60300,25000
"William Jessup University","nonprofit",1131,20833,1009,0.3477,0.9093,38600,21500
"San Jose State University","public",26528,12862,1038,0.4162,0.3501,53700,15628
"Santa Clara University","nonprofit",5447,34556,1309,0.136,0.3672,67600,20500
"Scripps College","nonprofit",962,28736,1360,0.1214,0.3755,47800,13749.5
"Simpson University","nonprofit",1065,18092,1024,0.5527,0.9336,33600,16666
"Saint Mary's College of California","nonprofit",2949,32605,1109,0.2273,0.5099,58400,25750
"Sonoma State University","public",8441,15913,984,0.3174,0.4079,44400,17881
"Vanguard University of Southern California","nonprofit",1941,23952,970,0.3858,0.8094,37700,25000
"Southern California Institute of Architecture","nonprofit",263,46509,1151,0.4,0.4471,46500,39500
"University of Southern California","nonprofit",18392,28344,1380,0.2337,0.3729,67700,21500
"Thomas Aquinas College","nonprofit",378,20460,1261,0.347,0.735,30200,16500
"Westmont College","nonprofit",1297,30370,1175,0.2041,0.5443,46800,24954
"Whittier College","nonprofit",1624,32984,1061,0.3684,0.7071,44000,25000
"Adams State University","public",2110,15868,955,0.5175,0.6305,32800,16255
"University of Colorado Denver/Anschutz Medical Campus","public",10786,13774,1055,0.2701,0.3595,57400,21500
"University of Colorado Colorado Springs","public",9310,15151,1089,0.3183,0.473,40600,21187.5
"University of Colorado Boulder","public",25873,21792,1207,0.1753,0.3212,47700,19500
"Colorado School of Mines","public",4383,25777,1333,0.1718,0.4544,75700,26849
"Colorado State University-Fort Collins","public",22373,16526,1128,0.2489,0.4527,44500,21000
"University of Denver","nonprofit",5629,29771,1231,0.176,0.3759,51700,23166
"Fort Lewis College","public",3609,15254,1020,0.3268,0.4839,34000,19621.5
"Colorado Mesa University","public",8413,15874,970,0.3923,0.5498,34600,22000
"Metropolitan State University of Denver","public",20583,10378,973,0.3778,0.4916,38400,24620
"University of Northern Colorado","public",9104,16852,1033,0.3386,0.5672,39000,22500
"Regis University","nonprofit",4914,23564,1108,0.2672,0.559,50500,23000
"Colorado State University-Pueblo","public",4227,12973,971,0.4085,0.5706,35500,20500
"Western State Colorado University","public",1936,14352,990,0.2959,0.1838,35900,21421
"University of Bridgeport","nonprofit",3021,22626,899,0.4931,0.7132,42700,27000
"Central Connecticut State University","public",9600,15643,1015,0.3464,0.5779,44300,22750
"University of Connecticut","public",18016,20337,1228,0.2066,0.4978,54000,21500
"University of Hartford","nonprofit",4956,27156,1000,0.2769,0.6877,46100,26960
"University of New Haven","nonprofit",4974,30225,1063,0.2463,0.6887,48300,27000
"Post University","forprofit",6594,31106,855,0.4695,0.5653,36800,26512
"Quinnipiac University","nonprofit",6503,35566,1104,0.1574,0.6093,57700,26000
"University of Saint Joseph","nonprofit",930,24792,969,0.3375,0.7626,49500,27000
"Southern Connecticut State University","public",8133,14741,932,0.3622,0.6214,40700,24099
"Western Connecticut State University","public",5206,17269,981,0.3092,0.5612,43400,24500
